"id_year","year","state","area"
ac_2004,2004,ac,728
ac_2005,2005,ac,592
ac_2006,2006,ac,398
ac_2007,2007,ac,184
ac_2008,2008,ac,254
ac_2009,2009,ac,167
ac_2010,2010,ac,259
ac_2011,2011,ac,280
ac_2012,2012,ac,305
ac_2013,2013,ac,221
ac_2014,2014,ac,309
ac_2015,2015,ac,264
ac_2016,2016,ac,372
ac_2017,2017,ac,257
ac_2018,2018,ac,444
ac_2019,2019,ac,688
am_2004,2004,am,1232
am_2005,2005,am,775
am_2006,2006,am,788
am_2007,2007,am,610
am_2008,2008,am,604
am_2009,2009,am,405
am_2010,2010,am,595
am_2011,2011,am,502
am_2012,2012,am,523
am_2013,2013,am,583
am_2014,2014,am,500
am_2015,2015,am,712
am_2016,2016,am,1129
am_2017,2017,am,1001
am_2018,2018,am,1045
am_2019,2019,am,1421
ap_2004,2004,ap,46
ap_2005,2005,ap,33
ap_2006,2006,ap,30
ap_2007,2007,ap,39
ap_2008,2008,ap,100
ap_2009,2009,ap,70
ap_2010,2010,ap,53
ap_2011,2011,ap,66
ap_2012,2012,ap,27
ap_2013,2013,ap,23
ap_2014,2014,ap,31
ap_2015,2015,ap,25
ap_2016,2016,ap,17
ap_2017,2017,ap,24
ap_2018,2018,ap,24
ap_2019,2019,ap,8
ma_2004,2004,ma,755
ma_2005,2005,ma,922
ma_2006,2006,ma,674
ma_2007,2007,ma,631
ma_2008,2008,ma,1271
ma_2009,2009,ma,828
ma_2010,2010,ma,712
ma_2011,2011,ma,396
ma_2012,2012,ma,269
ma_2013,2013,ma,403
ma_2014,2014,ma,257
ma_2015,2015,ma,209
ma_2016,2016,ma,258
ma_2017,2017,ma,265
ma_2018,2018,ma,253
ma_2019,2019,ma,215
mt_2004,2004,mt,11814
mt_2005,2005,mt,7145
mt_2006,2006,mt,4333
mt_2007,2007,mt,2678
mt_2008,2008,mt,3258
mt_2009,2009,mt,1049
mt_2010,2010,mt,871
mt_2011,2011,mt,1120
mt_2012,2012,mt,757
mt_2013,2013,mt,1139
mt_2014,2014,mt,1075
mt_2015,2015,mt,1601
mt_2016,2016,mt,1489
mt_2017,2017,mt,1561
mt_2018,2018,mt,1490
mt_2019,2019,mt,1685
pa_2004,2004,pa,8870
pa_2005,2005,pa,5899
pa_2006,2006,pa,5659
pa_2007,2007,pa,5526
pa_2008,2008,pa,5607
pa_2009,2009,pa,4281
pa_2010,2010,pa,3770
pa_2011,2011,pa,3008
pa_2012,2012,pa,1741
pa_2013,2013,pa,2346
pa_2014,2014,pa,1887
pa_2015,2015,pa,2153
pa_2016,2016,pa,2992
pa_2017,2017,pa,2433
pa_2018,2018,pa,2744
pa_2019,2019,pa,3862
ro_2004,2004,ro,3858
ro_2005,2005,ro,3244
ro_2006,2006,ro,2049
ro_2007,2007,ro,1611
ro_2008,2008,ro,1136
ro_2009,2009,ro,482
ro_2010,2010,ro,435
ro_2011,2011,ro,865
ro_2012,2012,ro,773
ro_2013,2013,ro,932
ro_2014,2014,ro,684
ro_2015,2015,ro,1030
ro_2016,2016,ro,1376
ro_2017,2017,ro,1243
ro_2018,2018,ro,1316
ro_2019,2019,ro,1245
rr_2004,2004,rr,311
rr_2005,2005,rr,133
rr_2006,2006,rr,231
rr_2007,2007,rr,309
rr_2008,2008,rr,574
rr_2009,2009,rr,121
rr_2010,2010,rr,256
rr_2011,2011,rr,141
rr_2012,2012,rr,124
rr_2013,2013,rr,170
rr_2014,2014,rr,219
rr_2015,2015,rr,156
rr_2016,2016,rr,202
rr_2017,2017,rr,132
rr_2018,2018,rr,195
rr_2019,2019,rr,617
to_2004,2004,to,158
to_2005,2005,to,271
to_2006,2006,to,124
to_2007,2007,to,63
to_2008,2008,to,107
to_2009,2009,to,61
to_2010,2010,to,49
to_2011,2011,to,40
to_2012,2012,to,52
to_2013,2013,to,74
to_2014,2014,to,50
to_2015,2015,to,57
to_2016,2016,to,58
to_2017,2017,to,31
to_2018,2018,to,25
to_2019,2019,to,21
